epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.39506,5.85569,4.411,4.3256,0,0,0,0,6.40701,3.99708,4.15926,0.0991,0.0001,0.0001
2,7.98035,6.13887,4.54872,4.30667,0,0,0,0,6.40707,3.99669,4.1602,0.0973,0.000299985,0.000299985
3,8.47904,5.93265,4.50094,4.33057,0,0,0,0,6.4007,3.98038,4.14611,0.0954999,0.000499899,0.000499899
4,9.00494,5.94237,4.40402,4.31496,0,0,0,0,6.37858,3.93043,4.10355,0.0936997,0.000699682,0.000699682
5,9.50995,5.86366,4.26667,4.25954,0,0,0,0,6.35566,3.82587,4.05909,0.0918993,0.000899273,0.000899273
6,10.0148,5.72055,4.15476,4.20232,0.00146,0.04242,0.00076,0.00014,6.32316,3.76542,4.00152,0.0900986,0.00109861,0.00109861
7,10.5196,5.93518,4.14195,4.10206,0.00187,0.05455,0.00099,0.00016,6.2758,3.69713,3.9258,0.0882976,0.00129764,0.00129764
8,11.0255,5.58705,3.9672,4.04317,0.0025,0.07273,0.00134,0.00022,6.22156,3.43637,3.84985,0.0864963,0.00149629,0.00149629
9,11.6068,5.67047,3.92001,3.94494,0.0025,0.07273,0.00136,0.00024,6.15829,3.34325,3.77035,0.0846945,0.00169451,0.00169451
10,12.1115,5.69314,3.81471,3.86513,0.0025,0.07273,0.00135,0.0003,6.08406,3.29913,3.68969,0.0828922,0.00189224,0.00189224
11,12.6106,5.39331,3.7026,3.79856,0.00271,0.07879,0.00181,0.00061,6.00278,3.25561,3.60977,0.0810894,0.00208942,0.00208942
12,13.1118,5.30224,3.68429,3.7158,0.00292,0.08485,0.00159,0.00046,5.9153,3.2237,3.53741,0.079286,0.00228598,0.00228598
13,13.6582,5.1137,3.53762,3.62466,0.00292,0.08485,0.00202,0.00075,5.82783,3.20161,3.47233,0.0774819,0.00248188,0.00248188
14,14.1717,4.89141,3.4682,3.51416,0.00292,0.08485,0.00197,0.00066,5.73768,3.18746,3.41154,0.075677,0.00267704,0.00267704
15,14.6577,4.34923,3.29402,3.46217,0.00292,0.08485,0.00197,0.00067,5.64201,3.17771,3.35805,0.0738714,0.00287141,0.00287141
16,15.1857,4.36852,3.1647,3.25233,0.00292,0.08485,0.00194,0.00068,5.55606,3.17691,3.31248,0.0720649,0.00306493,0.00306493
17,15.6749,4.02994,3.09463,3.06225,0.00292,0.08485,0.0019,0.00071,5.46842,3.19044,3.27244,0.0702575,0.00325755,0.00325755
18,16.1784,3.71299,2.94861,2.89903,0.00313,0.09091,0.00205,0.00074,5.39245,3.21664,3.24003,0.0684492,0.0034492,0.0034492
19,16.6774,3.60432,2.75346,2.77517,0.00313,0.09091,0.00207,0.00072,5.35735,3.22862,3.22612,0.0666398,0.00363983,0.00363983
20,17.1726,3.29939,2.71513,2.79335,0.00313,0.09091,0.00204,0.00073,5.30055,3.25136,3.2002,0.0648294,0.00382938,0.00382938
21,17.669,3.28846,2.59833,2.57751,0.00313,0.09091,0.00198,0.00073,5.24937,3.28124,3.18084,0.0630178,0.00401779,0.00401779
22,18.1599,3.09949,2.52013,2.52852,0.00313,0.09091,0.00204,0.00074,5.20661,3.30976,3.1624,0.061205,0.00420501,0.00420501
23,18.6664,3.0887,2.51983,2.47282,0.00313,0.09091,0.00203,0.00074,5.17503,3.34155,3.15034,0.059391,0.00439098,0.00439098
24,19.1686,2.93563,2.37928,2.34393,0.00313,0.09091,0.00202,0.00073,5.14286,3.37265,3.13806,0.0575756,0.00457564,0.00457564
25,19.6608,2.86096,2.29756,2.32733,0.00313,0.09091,0.00199,0.00073,5.11995,3.39842,3.13008,0.0557589,0.00475894,0.00475894
26,20.1428,2.92196,2.21639,2.219,0.00313,0.09091,0.00203,0.00072,5.11231,3.41413,3.12741,0.0539408,0.00494083,0.00494083
27,20.6245,2.7766,2.20915,2.22604,0.00313,0.09091,0.00204,0.00074,5.10897,3.42885,3.1254,0.0521212,0.00512125,0.00512125
28,21.1157,2.84416,2.17677,2.21728,0.00313,0.09091,0.00199,0.00072,5.10714,3.44627,3.12479,0.0503001,0.00530014,0.00530014
29,21.645,2.8543,2.14283,2.30345,0.00313,0.09091,0.002,0.00068,5.09052,3.46431,3.12077,0.0484775,0.00547745,0.00547745
30,22.1276,2.83489,2.06257,2.19025,0.00573,0.07273,0.00319,0.00105,5.09549,3.48107,3.12236,0.0466531,0.00565313,0.00565313
31,22.6075,2.8082,2.05326,2.09468,0.00573,0.07273,0.00319,0.00105,5.0875,3.50195,3.12026,0.0448271,0.00582713,0.00582713
32,23.0781,2.72569,2.05288,2.13027,0.00573,0.07273,0.00319,0.00105,5.08797,3.51713,3.12145,0.0429994,0.0059994,0.0059994
33,23.5537,2.66539,1.90552,2.0491,0.00573,0.07273,0.00319,0.00105,5.07822,3.53197,3.1189,0.0411699,0.00616988,0.00616988
34,24.0299,2.77401,2.03463,2.11941,0.00573,0.07273,0.00319,0.00105,5.07399,3.55083,3.11808,0.0393385,0.00633852,0.00633852
35,24.5034,2.62512,1.92923,2.05025,0.00573,0.07273,0.00319,0.00105,5.07945,3.5661,3.12015,0.0375053,0.00650528,0.00650528
36,24.9725,2.62082,1.95785,2.0084,0.00573,0.07273,0.00319,0.00105,5.06878,3.57997,3.11807,0.0356701,0.0066701,0.0066701
37,25.4433,2.66443,1.92117,2.02893,0.00573,0.07273,0.00319,0.00105,5.08419,3.59447,3.12154,0.0338329,0.00683294,0.00683294
38,25.9591,2.58879,1.80098,1.92515,0.00573,0.07273,0.00319,0.00105,5.06227,3.60606,3.11585,0.0319937,0.00699375,0.00699375
